ndvi,spc_fitted,spc_lower_95,spc_upper_95
0.55254350,50.88984665,44.59567456,57.18401875
0.55462846,51.09445289,44.74048840,57.44841737
0.55671342,51.29902245,44.88520634,57.71283857
0.55879837,51.50354851,45.02983596,57.97726106
0.56088333,51.70802422,45.17438464,58.24166380
0.56296829,51.91244275,45.31885946,58.50602603
0.56505324,52.11679727,45.46326730,58.77032723
0.56713820,52.32108097,45.60761478,59.03454715
0.56922315,52.52528704,45.75190831,59.29866577
0.57130811,52.72940869,45.89615406,59.56266331
0.57339307,52.93343912,46.04035799,59.82652026
0.57547802,53.13737158,46.18452585,60.09021731
0.57756298,53.34119929,46.32866318,60.35373541
0.57964794,53.54491552,46.47277532,60.61705572
0.58173289,53.74851353,46.61686743,60.88015963
0.58381785,53.95198661,46.76094445,61.14302877
0.58590281,54.15532805,46.90501115,61.40564495
0.58798776,54.35853118,47.04907212,61.66799025
0.59007272,54.56158934,47.19313176,61.93004692
0.59215767,54.76449588,47.33719432,62.19179743
0.59424263,54.96724418,47.48126386,62.45322449
0.59632759,55.16982763,47.62534429,62.71431097
0.59841254,55.37223965,47.76943933,62.97503998
0.60049750,55.57447370,47.91355259,63.23539481
0.60258246,55.77652322,48.05768748,63.49535897
0.60466741,55.97838172,48.20184729,63.75491616
