sample_id,station,core_code,treatment,meadow,period,ndvi_mean,ndvi_sd,ndvi_n_pixels,ndvi_raster
5NU,5,N,Control,Unstable,2026-08-01,0.35196801,0.11105589,245,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
6AU,6,A,Treatment,Unstable,2026-08-01,0.37656267,0.06324274,250,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
6NU,6,N,Control,Unstable,2026-08-01,0.17302232,0.04618646,251,Data/MS_DRONE/REWRITE_Jim_27082026_Unstable/Unstable_082026_NDVI.tif
1AS,1,A,Treatment,Stable,2026-09-01,0.32960432,0.05481266,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
1NS,1,N,Control,Stable,2026-09-01,0.37741057,0.03138645,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
2AS,2,A,Treatment,Stable,2026-09-01,0.27216761,0.05513714,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
2NS,2,N,Control,Stable,2026-09-01,0.21691042,0.03974360,74,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
3AS,3,A,Treatment,Stable,2026-09-01,0.60466741,0.03148077,72,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
3NS,3,N,Control,Stable,2026-09-01,0.54006152,0.04545772,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
4AS,4,A,Treatment,Stable,2026-09-01,0.51622600,0.05390839,77,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
4NS,4,N,Control,Stable,2026-09-01,0.45598854,0.03919751,75,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
5AS,5,A,Treatment,Stable,2026-09-01,0.53884139,0.06104363,73,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
5NS,5,N,Control,Stable,2026-09-01,0.27033730,0.04095913,76,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
6AS,6,A,Treatment,Stable,2026-09-01,0.46435187,0.03895698,74,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
6NS,6,N,Control,Stable,2026-09-01,0.47483761,0.05108180,74,Data/MS_DRONE/REWRITE_Jim_08092026_Stable/Stable_092026_NDVI.tif
